result	id	features	stage	detail
PASS	bools/short-circuit-effects/nested-all-false	bools,calls,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-effects/loop-three	bools,calls,evaluation_order,loops	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-effects/loop-left-zero	bools,calls,evaluation_order,loops	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-effects/loop-right-zero	bools,calls,evaluation_order,loops	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-effects/assign-both	bools,calls,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-effects/assign-left-false	bools,calls,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/and-taken	bools,closures,evaluation_order,make,append,slices,loops	-	wide=2 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/and-short	bools,closures,evaluation_order,make,append,slices,loops	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/and-zero-len	bools,closures,evaluation_order,make,append,slices,loops	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/or-taken	bools,closures,evaluation_order,make,append,slices,loops	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/or-short	bools,closures,evaluation_order,make,append,slices,loops	-	wide=1 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/capture-three	bools,closures,evaluation_order,make,append,slices,loops,range	-	wide=2 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/capture-short	bools,closures,evaluation_order,make,append,slices,loops,range	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/outside-four	closures,make,append,slices,loops	-	wide=2 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/outside-zero	closures,make,append,slices,loops	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/outside-then-sc	bools,evaluation_order,make,append,slices,loops	-	wide=3 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/outside-then-sc-short	bools,evaluation_order,make,append,slices,loops	-	wide=3 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/e6-recv-len-in-sc	bools,closures,channels,interfaces,type_assertions,slices,indexing,len,panic,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/e6-recv-len-outside	closures,channels,interfaces,type_assertions,slices,indexing,len,panic,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/admit-new	bools,closures,evaluation_order,new,pointers	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/admit-new-short	bools,closures,evaluation_order,new,pointers	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/admit-copy	bools,closures,evaluation_order,copy,make,slices,literals	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/admit-copy-short	bools,closures,evaluation_order,copy,make,slices,literals	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/admit-maplit	bools,closures,evaluation_order,maps,literals	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/admit-maplit-short	bools,closures,evaluation_order,maps,literals	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/admit-splat-in-lit	bools,closures,evaluation_order,calls,multi_result,functions	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/admit-splat-in-lit-short	bools,closures,evaluation_order,calls,multi_result,functions	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/admit-elided-in-lit	bools,closures,evaluation_order,literals,pointers,structs,slices	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-funclit/admit-elided-in-lit-short	bools,closures,evaluation_order,literals,pointers,structs,slices	-	wide=0 exhausted=none depth=fixed
PASS	bools/short-circuit-or	bools,evaluation_order,calls	-	wide=0 exhausted=none depth=fixed
PASS	bools/zero-value	bools,zero_values	-	wide=0 exhausted=none depth=fixed
PASS	builtins/append-defined-byte-slice-string	builtins,append,bytes,strings,slices,typed	-	wide=1 exhausted=none depth=fixed
PASS	builtins/append-string-to-bytes	builtins,append,bytes,strings,slices	-	wide=1 exhausted=none depth=fixed
PASS	builtins/clear-delete-edge/clear-nil-map	builtins,clear,maps,nil,len	-	wide=0 exhausted=none depth=fixed
PASS	builtins/clear-delete-edge/clear-nil-slice	builtins,clear,slices,nil,len,cap	-	wide=0 exhausted=none depth=fixed
PASS	builtins/clear-delete-edge/clear-defined-map	builtins,clear,maps,typed	-	wide=0 exhausted=none depth=fixed
PASS	builtins/clear-delete-edge/clear-defined-slice	builtins,clear,slices,typed,zero_values	-	wide=0 exhausted=none depth=fixed
PASS	builtins/clear-delete-edge/clear-slice-alias-visible	builtins,clear,slices,aliasing	-	wide=0 exhausted=none depth=fixed
PASS	builtins/clear-delete-edge/clear-array-slice	builtins,clear,arrays,slices	-	wide=0 exhausted=none depth=fixed
PASS	builtins/clear-delete-edge/clear-eval-order	builtins,clear,evaluation_order,slices	-	wide=0 exhausted=none depth=fixed
PASS	builtins/clear-delete-edge/clear-generic-slice	builtins,clear,generics,type_sets,slices	-	wide=0 exhausted=none depth=fixed
PASS	builtins/clear-delete-edge/clear-generic-map	builtins,clear,generics,type_sets,maps	-	wide=0 exhausted=none depth=fixed
PASS	builtins/clear-delete-edge/delete-defined-map	builtins,delete,maps,typed	-	wide=0 exhausted=none depth=fixed
PASS	builtins/clear-delete-edge/delete-generic-map	builtins,delete,generics,type_sets,maps	-	wide=0 exhausted=none depth=fixed
PASS	builtins/clear-delete-edge/delete-nil-map-evaluates-key	builtins,delete,maps,nil,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	builtins/clear-delete-edge/delete-map-expr-panic-before-key	builtins,delete,maps,evaluation_order,panic	-	wide=0 exhausted=none depth=fixed
PASS	builtins/clear-map	clear,maps,len,comma_ok	-	wide=0 exhausted=none depth=fixed
PASS	builtins/clear-slice	clear,slices,zero_values,len,cap	-	wide=0 exhausted=none depth=fixed
PASS	builtins/copy-edge/eval-order	builtins,copy,evaluation_order,slices	-	wide=0 exhausted=none depth=fixed
PASS	builtins/copy-edge/defined-slices	builtins,copy,slices,typed	-	wide=0 exhausted=none depth=fixed
PASS	builtins/copy-edge/defined-byte-string	builtins,copy,strings,bytes,typed	-	wide=0 exhausted=none depth=fixed
PASS	builtins/copy-edge/empty-string-to-bytes	builtins,copy,strings,bytes,empty	-	wide=0 exhausted=none depth=fixed
PASS	builtins/copy-edge/nil-source	builtins,copy,slices,nil	-	wide=0 exhausted=none depth=fixed
PASS	builtins/copy-edge/nil-destination	builtins,copy,slices,nil,len,cap	-	wide=0 exhausted=none depth=fixed
PASS	builtins/copy-edge/forward-overlap	builtins,copy,slices,overlap,aliasing	-	wide=0 exhausted=none depth=fixed
PASS	builtins/copy-edge/array-slice	builtins,copy,arrays,slices	-	wide=0 exhausted=none depth=fixed
PASS	builtins/copy-edge/string-prefix	builtins,copy,strings,bytes,prefix	-	wide=0 exhausted=none depth=fixed
PASS	builtins/copy-edge/generic-slices	builtins,copy,generics,type_sets,slices	-	wide=0 exhausted=none depth=fixed
PASS	builtins/copy-string-to-bytes	copy,strings,bytes	-	wide=0 exhausted=none depth=fixed
PASS	builtins/len-cap-array-pointer	len,cap,arrays,pointers	-	wide=0 exhausted=none depth=fixed
PASS	builtins/len-vs-call-order/chan	channels,len,evaluation_order,calls	-	wide=0 exhausted=none depth=fixed
PASS	builtins/len-vs-call-order/slice	slices,len,evaluation_order,calls,append	-	wide=1 exhausted=none depth=fixed
PASS	builtins/len-vs-call-order/recv-bearing	channels,len,evaluation_order,calls	-	wide=0 exhausted=none depth=fixed
PASS	builtins/len-vs-call-order/short-circuit	channels,len,evaluation_order,calls,bools	-	wide=0 exhausted=none depth=fixed
PASS	builtins/len-vs-call-order/short-circuit-skipped	channels,len,evaluation_order,calls,bools	-	wide=0 exhausted=none depth=fixed
PASS	builtins/len-vs-call-order/panicky-before-call	slices,len,evaluation_order,calls,panic,recover,indexing	-	wide=0 exhausted=none depth=fixed
FAIL	builtins/len-vs-call-order/panicky-between	slices,len,evaluation_order,calls,panic,recover,indexing,interfaces,type_assertions	frontend-export	{"message":"normalizing frontend-quarantined: len of a potentially-panicking operand between a potentially-panicking operand to its left and a later ordered call/receive in the same statement (hoisting len would reorder the panics; realizing gc's left-to-right point needs full-statement linearization — BUG-032/A6)","schema":"golean-observation-v1","status":"unsupported"}
FAIL	builtins/len-vs-call-order/hint-panicky-between	maps,make,len,evaluation_order,panic,indexing,interfaces,type_assertions	differential	Lean={"message":"runtime error: index out of range [5] with length 2","schema":"golean-observation-v1","status":"panic"} Go={"message":"interface conversion: interface {} is string, not int","schema":"golean-observation-v1","status":"panic"} left:  {"message":"runtime error: index out of range [5] with length 2","schema":"golean-observation-v1","status":"panic"}\nright: {"message":"interface conversion: interface {} is string, not int","schema":"golean-observation-v1","status":"panic"}
PASS	builtins/make-channel-len-cap	builtins,make,channels,len,cap	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-map-hint	builtins,make,maps,len	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-map-hint-eval/panic-map-never-created	maps,make,panic,recover,defer,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-map-hint-eval/panic-uncaught	maps,make,panic,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-map-hint-eval/index-panic-map-never-created	maps,make,panic,recover,defer,indexing,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-map-hint-eval/index-panic-uncaught	maps,make,panic,indexing,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-map-hint-eval/evaluated-once	maps,make,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-map-hint-eval/negative-from-call	maps,make,evaluation_order	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-map-hint-eval/zero	maps,make	-	wide=0 exhausted=none depth=fixed
PASS	builtins/make-map-hint-eval/named-int-type	maps,make	-	wide=0 exhausted=none depth=fixed
