result	id	features	stage	detail
PASS	maps/duplicate-key	maps,literals,keys,compile_error	-	-
PASS	maps/duplicate-string-key	maps,literals,keys,strings,compile_error	-	-
PASS	maps/duplicate-typed-const-key	maps,literals,keys,constants,typed,compile_error	-	-
PASS	maps/func-key	maps,functions,keys,comparability,compile_error	-	-
PASS	maps/make-map-float-hint	maps,make,floats,compile_error	-	-
PASS	maps/make-map-negative-const-hint	maps,make,constants,compile_error	-	-
PASS	maps/make-map-overflow-const-hint	maps,make,constants,compile_error	-	-
PASS	maps/make-map-string-hint	maps,make,strings,compile_error	-	-
PASS	maps/make-map-too-many-args	maps,make,compile_error	-	-
PASS	maps/map-array-element-assign	maps,arrays,indexing,addressability,compile_error	-	-
PASS	maps/map-compare	maps,comparability,compile_error	-	-
PASS	maps/map-field-assign	maps,addressability,compile_error	-	-
PASS	maps/map-index-wrong-key-type	maps,keys,indexing,compile_error	-	-
PASS	maps/map-key-map	maps,keys,comparability,compile_error	-	-
PASS	maps/slice-key	maps,slices,keys,comparability,compile_error	-	-
PASS	methods/ambiguous-promoted-method	methods,embedding,compile_error	-	-
PASS	methods/duplicate-method-name	methods,compile_error	-	-
PASS	methods/interface-method-expression-arity	methods,interfaces,functions,calls,compile_error	-	-
PASS	methods/interface-receiver	methods,interfaces,compile_error	-	-
PASS	methods/nonlocal-receiver	methods,compile_error	-	-
PASS	methods/pointer-alias-receiver	methods,pointers,compile_error	-	-
PASS	methods/pointer-receiver-map-element	methods,pointers,maps,addressability,compile_error	-	-
PASS	methods/pointer-to-pointer-receiver	methods,pointers,compile_error	-	-
PASS	methods/value-pointer-interface	methods,interfaces,pointers,compile_error	-	-
PASS	multi-assign/assign-arity-too-many	multi_assign,assignment,compile_error	-	-
PASS	multi-assign/multi-result-mixed-rhs	multi_assign,multi_result,compile_error	-	-
PASS	multi-assign/non-addressable-target	multi_assign,addressability,compile_error	-	-
PASS	multi-assign/short-decl-arity	multi_assign,short_decl,compile_error	-	-
PASS	panic-recover/panic-as-value	panic,compile_error	-	-
PASS	panic-recover/panic-no-argument	panic,compile_error	-	-
PASS	panic-recover/panic-spread	panic,variadic,compile_error	-	-
PASS	panic-recover/panic-too-many-arguments	panic,compile_error	-	-
PASS	panic-recover/recover-argument	panic,recover,compile_error	-	-
PASS	panic-recover/recover-as-value	recover,compile_error	-	-
PASS	panic-recover/recover-call-result	recover,calls,compile_error	-	-
PASS	pointers/address-call-result	pointers,calls,addressability,compile_error	-	-
PASS	pointers/address-constant	pointers,addressability,compile_error	-	-
PASS	pointers/address-map-element	pointers,maps,addressability,compile_error	-	-
PASS	pointers/address-string-index	pointers,strings,addressability,compile_error	-	-
PASS	pointers/assign-different-pointer-types	pointers,typed,assignment,compile_error	-	-
PASS	pointers/compare-different-types	pointers,comparability,compile_error	-	-
PASS	pointers/deref-nonpointer	pointers,compile_error	-	-
PASS	pointers/pointer-arithmetic	pointers,compile_error	-	-
PASS	range/range-channel-two-vars	range,channels,compile_error	-	-
PASS	range/range-float	range,floats,compile_error	-	-
PASS	range/range-func-bad-yield	range,functions,compile_error	-	-
PASS	range/range-func-one-value-two-vars	range,functions,compile_error	-	-
PASS	range/range-func-return-value	range,functions,compile_error	-	-
PASS	range/range-func-too-many-yield-values	range,functions,compile_error	-	-
PASS	range/range-int-two-vars	range,ints,compile_error	-	-
PASS	range/range-pointer-to-slice	range,slices,pointers,compile_error	-	-
PASS	range/range-send-only-channel	range,channels,compile_error	-	-
PASS	range/range-struct	range,structs,compile_error	-	-
PASS	returns/map-index-return-values	returns,maps,comma_ok,compile_error	-	-
PASS	returns/missing-return-value	returns,compile_error	-	-
PASS	returns/multi-result-assignment-mismatch	returns,multi_result,assignment,compile_error	-	-
PASS	returns/multi-result-single-context	returns,multi_result,compile_error	-	-
PASS	returns/naked-return-shadowed-result	returns,named-results,shadowing,compile_error	-	-
PASS	returns/too-many-return-values	returns,compile_error	-	-
PASS	scoping/block-scope-leak	scoping,compile_error	-	-
PASS	scoping/for-init-scope-leak	scoping,loops,short_decl,compile_error	-	-
PASS	scoping/if-init-scope-leak	scoping,if,short_decl,compile_error	-	-
PASS	scoping/select-clause-scope-leak	scoping,select,channels,compile_error	-	-
PASS	scoping/short-decl-no-new	scoping,short_decl,compile_error	-	-
PASS	scoping/switch-clause-scope-leak	scoping,switch,cases,compile_error	-	-
PASS	scoping/switch-init-scope-leak	scoping,switch,compile_error	-	-
PASS	scoping/type-switch-guard-scope-leak	scoping,type_switch,switch,compile_error	-	-
PASS	slices/full-slice-string	slices,strings,full_slice,compile_error	-	-
PASS	slices/slice-compare	slices,comparability,compile_error	-	-
PASS	slices/slice-index-float	slices,slicing,compile_error	-	-
PASS	slices/slice-unaddressable-array	slices,arrays,addressability,compile_error	-	-
PASS	spec-examples/array-type-mutual-cycle	arrays,structs,compile_error	-	-
PASS	spec-examples/array-type-self-element	arrays,compile_error	-	-
PASS	spec-examples/array-type-struct-cycle	arrays,structs,compile_error	-	-
PASS	spec-examples/bare-return-shadowed-result	returns,named-results,shadowing,scoping,compile_error	-	-
PASS	spec-examples/builtin-len-statement	builtins,len,compile_error	-	-
PASS	spec-examples/complex-arg-shift	complex,shifts,builtins,compile_error	-	-
PASS	spec-examples/const-complement-uint8	constants,bitwise,representability,compile_error	-	-
PASS	spec-examples/const-conversion-float-to-int	conversions,constants,floats,ints,representability,compile_error	-	-
PASS	spec-examples/const-conversion-float-to-string	conversions,constants,floats,strings,compile_error	-	-
PASS	spec-examples/const-division-by-zero	constants,division,compile_error	-	-
PASS	spec-examples/const-len-nonconstant-call	constants,len,complex,compile_error	-	-
PASS	spec-examples/const-shift-overflows-int32	constants,shifts,overflow,compile_error	-	-
