# DIAGNOSTIC — NOT A LOWERING. tools/lowerdiag report: no wire is written; nothing in this file is a gate input. (lowerdiag wire: per-declaration classification of the wire's quarantine stubs)
pkg	kind	name	status	cause	class	key
confchange	func	confchange.checkInvariants$fmt5	lowered	-	-	-
confchange	func	confchange.checkInvariants	lowered	-	-	-
confchange	func	confchange.checkAndReturn	lowered	-	-	-
confchange	func	confchange.nilAwareAdd	lowered	-	-	-
confchange	func	confchange.nilAwareDelete	lowered	-	-	-
confchange	func	confchange.symdiff	lowered	-	-	-
confchange	func	confchange.joint	lowered	-	-	-
confchange	func	confchange.incoming	lowered	-	-	-
confchange	func	confchange.outgoing	lowered	-	-	-
confchange	func	confchange.outgoingPtr	lowered	-	-	-
confchange	func	confchange.Describe$fmt0	lowered	-	-	-
confchange	func	confchange.Describe	lowered	-	-	-
confchange	func	confchange.toConfChangeSingle	lowered	-	-	-
confchange	func	confchange.chain	lowered	-	-	-
confchange	func	confchange.Restore$lit0	lowered	-	-	-
confchange	func	confchange.Restore$lit1	lowered	-	-	-
confchange	func	confchange.Restore$lit2	lowered	-	-	-
confchange	func	confchange.Restore	lowered	-	-	-
confchange	func	confchange.goleanShimErrorsNew	lowered	-	-	-
confchange	func	confchange.goleanShimFmtUint	lowered	-	-	-
confchange	func	confchange.goleanShimFmtInt	lowered	-	-	-
confchange	func	confchange.goleanShimFmtHex	lowered	-	-	-
confchange	func	confchange.goleanShimFmtBool	lowered	-	-	-
confchange	func	confchange.goleanShimFmtQuoteBytes	lowered	-	-	-
confchange	func	confchange.goleanShimFmtQuoteString	lowered	-	-	-
confchange	func	confchange.goleanShimFmtStringVerb	lowered	-	-	-
confchange	func	confchange.goleanShimFmtHexString	lowered	-	-	-
confchange	func	confchange.goleanShimFmtRender	lowered	-	-	-
confchange	func	confchange.goleanShimFmtRenderCall$lit0	lowered	-	-	-
confchange	func	confchange.goleanShimFmtRenderCall	lowered	-	-	-
confchange	func	confchange.goleanShimFmtError	lowered	-	-	-
confchange	func	confchange.goleanShimFmtErrorCall$lit0	lowered	-	-	-
confchange	func	confchange.goleanShimFmtErrorCall	lowered	-	-	-
confchange	func	confchange.goleanShimFmtPanicValue	lowered	-	-	-
confchange	func	confchange.goleanShimFmtPadLeft	lowered	-	-	-
confchange	func	confchange.goleanShimFmtIntPad	lowered	-	-	-
confchange	func	confchange.goleanShimFmtUintPad	lowered	-	-	-
confchange	func	confchange.goleanShimUnsupported	quarantined	golean stdlib shim RUNTIME refusal (fail closed): a modeled member hit a recorded bound at run time — the bound's text is at the shim call site. Unrecoverable BY DESIGN (audit R4-C-3): as a Go panic this was catchable, and user recover() turned refusals into silent wrong answers	FR-14/fmt-verb-matrix	fmt-verb-matrix
raft	func	raft.newLog	lowered	-	-	-
raft	func	raft.newLogWithSize	lowered	-	-	-
raft	func	raft.raftLog.String$fmt0	lowered	-	-	-
raft	func	raft.raftLog.scan$fmt0	lowered	-	-	-
raft	func	raft.SetLogger	lowered	-	-	-
raft	func	raft.ResetDefaultLogger	lowered	-	-	-
raft	func	raft.getLogger$deferSync0	lowered	-	-	-
raft	func	raft.getLogger	lowered	-	-	-
raft	func	raft.header$fmt0	lowered	-	-	-
raft	func	raft.header	lowered	-	-	-
raft	func	raft.isHardStateEqual	lowered	-	-	-
raft	func	raft.IsEmptyHardState	lowered	-	-	-
raft	func	raft.IsEmptySnap	lowered	-	-	-
raft	func	raft.confChangeToMsg	lowered	-	-	-
raft	func	raft.newRaft$fmt0	lowered	-	-	-
raft	func	raft.newRaft	lowered	-	-	-
raft	func	raft.raft.bcastAppend$lit0	lowered	-	-	-
raft	func	raft.raft.bcastHeartbeatWithCtx$lit0	lowered	-	-	-
raft	func	raft.raft.reset$lit0	lowered	-	-	-
raft	func	raft.raft.hasUnappliedConfChanges$lit0	lowered	-	-	-
raft	func	raft.stepLeader$lit0	lowered	-	-	-
raft	func	raft.stepLeader$fmt1	lowered	-	-	-
raft	func	raft.stepLeader	lowered	-	-	-
raft	func	raft.stepCandidate	lowered	-	-	-
raft	func	raft.stepFollower	lowered	-	-	-
raft	func	raft.logSliceFromMsgApp	lowered	-	-	-
raft	func	raft.raft.restore$fmt0	lowered	-	-	-
raft	func	raft.raft.applyConfChange$lit0	lowered	-	-	-
raft	func	raft.raft.switchToConfig$lit0	lowered	-	-	-
raft	func	raft.releasePendingReadIndexMessages	lowered	-	-	-
raft	func	raft.sendMsgReadIndexResponse	lowered	-	-	-
raft	func	raft.NewRawNode	lowered	-	-	-
raft	func	raft.MustSync	lowered	-	-	-
raft	func	raft.needStorageAppendMsg	lowered	-	-	-
raft	func	raft.needStorageAppendRespMsg	lowered	-	-	-
raft	func	raft.newStorageAppendMsg	lowered	-	-	-
raft	func	raft.newStorageAppendRespMsg	lowered	-	-	-
raft	func	raft.needStorageApplyMsg	lowered	-	-	-
raft	func	raft.needStorageApplyRespMsg	lowered	-	-	-
raft	func	raft.newStorageApplyMsg	lowered	-	-	-
raft	func	raft.newStorageApplyRespMsg	lowered	-	-	-
raft	func	raft.RawNode.WithProgress$lit0	lowered	-	-	-
raft	func	raft.newReadOnly	lowered	-	-	-
raft	func	raft.traceInitState	lowered	-	-	-
raft	func	raft.traceReady	lowered	-	-	-
raft	func	raft.traceCommit	lowered	-	-	-
raft	func	raft.traceReplicate	lowered	-	-	-
raft	func	raft.traceBecomeFollower	lowered	-	-	-
raft	func	raft.traceBecomeCandidate	lowered	-	-	-
raft	func	raft.traceBecomeLeader	lowered	-	-	-
raft	func	raft.traceChangeConfEvent	lowered	-	-	-
raft	func	raft.traceConfChangeEvent	lowered	-	-	-
raft	func	raft.traceSendMessage	lowered	-	-	-
raft	func	raft.traceReceiveMessage	lowered	-	-	-
raft	func	raft.getProgressCopy$lit0	lowered	-	-	-
raft	func	raft.getProgressCopy	lowered	-	-	-
raft	func	raft.getBasicStatus	lowered	-	-	-
raft	func	raft.getStatus	lowered	-	-	-
raft	func	raft.Status.MarshalJSON$fmt0	lowered	-	-	-
raft	func	raft.Status.MarshalJSON$fmt1	lowered	-	-	-
raft	func	raft.Status.MarshalJSON$fmt2	lowered	-	-	-
raft	func	raft.NewMemoryStorage	lowered	-	-	-
raft	func	raft.MemoryStorage.SetHardState$deferSync0	lowered	-	-	-
raft	func	raft.MemoryStorage.Entries$deferSync0	lowered	-	-	-
raft	func	raft.MemoryStorage.Term$deferSync0	lowered	-	-	-
raft	func	raft.MemoryStorage.LastIndex$deferSync0	lowered	-	-	-
raft	func	raft.MemoryStorage.FirstIndex$deferSync0	lowered	-	-	-
raft	func	raft.MemoryStorage.Snapshot$deferSync0	lowered	-	-	-
raft	func	raft.MemoryStorage.ApplySnapshot$deferSync0	lowered	-	-	-
raft	func	raft.MemoryStorage.CreateSnapshot$deferSync0	lowered	-	-	-
raft	func	raft.MemoryStorage.Compact$deferSync0	lowered	-	-	-
raft	func	raft.MemoryStorage.Append$deferSync0	lowered	-	-	-
raft	func	raft.pbEntryID	lowered	-	-	-
raft	func	raft.logSlice.valid$fmtc0	lowered	-	-	-
raft	func	raft.logSlice.valid$fmtc1	lowered	-	-	-
raft	func	raft.logSlice.valid$fmt2	lowered	-	-	-
raft	func	raft.logSlice.valid$fmtc3	lowered	-	-	-
raft	func	raft.logSlice.valid$fmt4	lowered	-	-	-
raft	func	raft.StateType.MarshalJSON$fmt0	lowered	-	-	-
raft	func	raft.isMsgInArray	lowered	-	-	-
raft	func	raft.IsLocalMsg	lowered	-	-	-
raft	func	raft.IsResponseMsg	lowered	-	-	-
raft	func	raft.IsLocalMsgTarget	lowered	-	-	-
raft	func	raft.voteRespMsgType$fmt0	lowered	-	-	-
raft	func	raft.voteRespMsgType	lowered	-	-	-
raft	func	raft.DescribeHardState$fmt0	lowered	-	-	-
raft	func	raft.DescribeHardState$fmt1	lowered	-	-	-
raft	func	raft.DescribeHardState$fmt2	lowered	-	-	-
raft	func	raft.DescribeHardState	lowered	-	-	-
raft	func	raft.DescribeSoftState$fmt0	lowered	-	-	-
raft	func	raft.DescribeSoftState	lowered	-	-	-
raft	func	raft.DescribeConfState$fmtsl1	lowered	-	-	-
raft	func	raft.DescribeConfState$fmtc0	lowered	-	-	-
raft	func	raft.DescribeConfState$fmtsl3	lowered	-	-	-
raft	func	raft.DescribeConfState$fmtc2	lowered	-	-	-
raft	func	raft.DescribeConfState$fmtsl5	lowered	-	-	-
raft	func	raft.DescribeConfState$fmtc4	lowered	-	-	-
raft	func	raft.DescribeConfState$fmtsl7	lowered	-	-	-
